Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	1	4	588	95	96		0.222222222222
2	9	Si5b5	B5b5	362	362	1	8	294	99	96		0.333333333333
3	9	La5	A5	358	358	1	8	294	99	96		0.444444444444
4	9	Sol5	G5	349	349	1	8	294	95	96		0.555555555556
5	9	Fa5	F5	340	340	1	8	294	99	96		0.666666666667
6	9	Mi5	E5	336	336	1	8	294	95	96		0.777777777778
7	9	Re5	D5	327	327	1	8	294	99	96		0.888888888889
8	9	Mi5	E5	336	336	1	8	294	95	96		1.0
9	9	Do5	C5	318	318	1	4	588	95	96		1.22222222222
10	9	Si5b5	B5b5	362	362	1	8	294	99	96		1.33333333333
11	9	La5	A5	358	358	1	8	294	99	96		1.44444444444
12	9	Sol5	G5	349	349	1	8	294	95	96		1.55555555556
13	9	Fa5	F5	340	340	1	8	294	99	96		1.66666666667
14	9	Mi5	E5	336	336	1	8	294	95	96		1.77777777778
15	9	Fa5	F5	340	340	1	4	588	95	96		2.0
16	9	Fa5	F5	340	340	1	4	588	95	96		2.22222222222
17	9	Si5b5	B5b5	362	362	1	8	294	99	96		2.33333333333
18	9	La5	A5	358	358	1	8	294	99	96		2.44444444444
19	9	Sol5	G5	349	349	1	8	294	95	96		2.55555555556
20	9	Fa5	F5	340	340	1	8	294	99	96		2.66666666667
21	9	Mi5	E5	336	336	1	8	294	95	96		2.77777777778
22	9	Re5	D5	327	327	1	8	294	99	96		2.88888888889
23	9	Mi5	E5	336	336	1	8	294	95	96		3.0
24	9	Do5	C5	318	318	1	4	588	95	96		3.22222222222
25	9	Si5b5	B5b5	362	362	1	8	294	99	96		3.33333333333
26	9	La5	A5	358	358	1	8	294	99	96		3.44444444444
27	9	Sol5	G5	349	349	1	8	294	95	96		3.55555555556
28	9	Fa5	F5	340	340	1	8	294	99	96		3.66666666667
29	9	Mi5	E5	336	336	1	8	294	95	96		3.77777777778
30	9	Fa5	F5	340	340	1	4	588	95	96		4.0
31	9	Do5	C5	318	318	1	4	588	95	96		4.22222222222
32	9	Fa5	F5	340	340	1	8	294	95	96		4.33333333333
33	9	Mi5b5	E5b5	331	331	1	8	294	95	96		4.44444444444
34	9	Re5	D5	327	327	1	8	294	95	96		4.55555555556
35	9	Do5	C5	318	318	1	8	294	95	96		4.66666666667
36	9	Si4b5	B4b5	309	309	1	8	294	95	96		4.77777777778
37	9	La4	A4	305	305	1	8	294	95	96		4.88888888889
38	9	Sol4	G4	296	296	1	8	294	95	96		5.0
39	9	Fa4	F4	287	287	1	4	588	95	96		5.22222222222
40	9	Si5b5	B5b5	362	362	1	8	294	99	96		5.33333333333
41	9	La5	A5	358	358	1	8	294	99	96		5.44444444444
42	9	Sol5	G5	349	349	1	8	294	95	96		5.55555555556
43	9	Fa5	F5	340	340	1	8	294	99	96		5.66666666667
44	9	Mi5	E5	336	336	1	8	294	95	96		5.77777777778
45	9	Fa5	F5	340	340	1	4	588	95	96		6.0
46	9	Do5	C5	318	318	1	4	588	95	96		6.22222222222
47	9	Fa5	F5	340	340	1	8	294	99	96		6.33333333333
48	9	Mi5b5	E5b5	331	331	1	8	294	99	96		6.44444444444
49	9	Re5	D5	327	327	1	8	294	95	96		6.55555555556
50	9	Do5	C5	318	318	1	8	294	99	96		6.66666666667
51	9	Si4b5	B4b5	309	309	1	8	294	95	96		6.77777777778
52	9	La4	A4	305	305	1	8	294	95	96		6.88888888889
53	9	Sol4	G4	296	296	1	8	294	95	96		7.0
54	9	La4	A4	305	305	1	8	294	99	96		7.11111111111
55	9	Si4b5	B4b5	309	309	1	8	294	95	96		7.22222222222
56	9	Do5	C5	318	318	1	8	294	99	96		7.33333333333
57	9	Si4b5	B4b5	309	309	1	8	294	99	96		7.44444444444
58	9	Do5	C5	318	318	1	8	294	95	96		7.55555555556
59	9	La4	A4	305	305	1	8	294	99	96		7.66666666667
60	9	Sol4	G4	296	296	1	8	294	99	96		7.77777777778
