Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	1000	95	96	ARANAĞME	0.400000
2	9	Re5	D5	327	327	1	4	1000	95	96	.	0.800000
3	9	Mi5	E5	336	336	1	8	500	95	96	.	1.000000
4	9	Fa5	F5	340	340	1	8	500	95	96	.	1.200000
5	9	Sol5	G5	349	349	1	8	500	95	96	.	1.400000
6	9	La5	A5	358	358	1	8	500	95	96	.	1.600000
7	9	Sol5	G5	349	349	1	8	500	95	96	.	1.800000
8	9	Fa5	F5	340	340	1	8	500	95	96	.	2.000000
9	9	Mi5	E5	336	336	1	8	500	95	96	.	2.200000
10	9	Fa5	F5	340	340	1	8	500	95	96	.	2.400000
11	9	Sol5	G5	349	349	1	8	500	95	96	.	2.600000
12	9	Fa5	F5	340	340	1	8	500	95	96	.	2.800000
13	9	Mi5	E5	336	336	1	8	500	95	96	.	3.000000
14	9	Re5	D5	327	327	1	16	250	95	96	.	3.100000
15	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	3.200000
16	9	Re5	D5	327	327	1	16	250	95	96	.	3.300000
17	9	Fa5	F5	340	340	1	16	250	95	96	.	3.400000
18	9	Mi5	E5	336	336	1	16	250	95	96	.	3.500000
19	9	Re5	D5	327	327	1	16	250	95	96	.	3.600000
20	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	3.700000
21	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	3.800000
22	9	La4	A4	305	305	1	8	500	95	96	.	4.000000
23	9	La4	A4	305	305	1	4	1000	95	96	.	4.400000
24	9	Si5b5	B5b5	362	362	1	8	500	95	96	.	4.600000
25	9	La5	A5	358	358	1	8	500	95	96	.	4.800000
26	9	Sol5	G5	349	349	1	8	500	95	96	.	5.000000
27	9	Fa5	F5	340	340	1	8	500	95	96	.	5.200000
28	9	Mi5	E5	336	336	1	8	500	95	96	.	5.400000
29	9	Fa5	F5	340	340	1	8	500	95	96	.	5.600000
30	9	Sol5	G5	349	349	1	8	500	95	96	.	5.800000
31	9	La5	A5	358	358	1	8	500	95	96	.	6.000000
32	9	Fa5	F5	340	340	1	16	250	95	96	.	6.100000
33	9	Mi5	E5	336	336	1	16	250	95	96	.	6.200000
34	9	Re5	D5	327	327	1	8	500	95	96	.	6.400000
35	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	6.600000
36	9	Re5	D5	327	327	1	8	500	95	96	.	6.800000
37	9	Mi5	E5	336	336	1	16	250	95	96	.	6.900000
38	11	Re5	D5	327	327	1	16	250	95	96	.	7.000000
39	9	Re5	D5	327	327	1	2	2000	95	96	.	7.800000
40	9	Es	Es	-1	-1	1	8	500	100	0	.	8.000000
41	9	Do5	C5	318	318	1	4	1000	95	96	.	8.400000
42	9	Re5	D5	327	327	1	4	1000	95	96	.	8.800000
43	9	Do5	C5	318	318	1	8	500	95	96	.	9.000000
44	9	Do5	C5	318	318	1	16	250	95	96	.	9.100000
45	9	Si4	B4	314	314	1	16	250	95	96	.	9.200000
46	9	Do5	C5	318	318	1	16	250	95	96	.	9.300000
47	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	9.400000
48	9	Re5	D5	327	327	1	16	250	95	96	.	9.500000
49	9	Do5	C5	318	318	1	16	250	95	96	.	9.600000
50	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	9.700000
51	9	La4	A4	305	305	1	16	250	95	96	.	9.800000
52	9	Sol4	G4	296	296	1	8	500	95	96	.	10.000000
53	9	Fa4	F4	287	287	1	8	500	95	96	.	10.200000
54	9	Sol4	G4	296	296	1	8	500	95	96	.	10.400000
55	9	La4	A4	305	305	1	8	500	95	96	.	10.600000
56	9	Sol4	G4	296	296	1	8	500	95	96	.	10.800000
57	9	Fa4	F4	287	287	1	8	500	95	96	.	11.000000
58	9	Sol4	G4	296	296	1	16	250	95	96	.	11.100000
59	9	Fa4	F4	287	287	1	16	250	95	96	.	11.200000
60	9	Sol4	G4	296	296	1	16	250	95	96	.	11.300000
61	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	11.400000
62	9	La4	A4	305	305	1	16	250	95	96	.	11.500000
63	9	Sol4	G4	296	296	1	16	250	95	96	.	11.600000
64	9	Fa4	F4	287	287	1	16	250	95	96	.	11.700000
65	9	Mi4	E4	283	283	1	16	250	95	96	.	11.800000
66	9	Re4	D4	274	274	1	8	500	95	96	.	12.000000
67	9	Re4	D4	274	274	1	8	500	95	96	.	12.200000
68	9	Mi4	E4	283	283	1	8	500	95	96	.	12.400000
69	9	Fa4	F4	287	287	1	8	500	95	96	.	12.600000
70	9	Mi4	E4	283	283	1	8	500	95	96	.	12.800000
71	9	Re4	D4	274	274	1	8	500	95	96	.	13.000000
72	9	Mi4	E4	283	283	1	8	500	95	96	.	13.200000
73	9	Fa4	F4	287	287	1	8	500	95	96	.	13.400000
74	9	Sol4	G4	296	296	1	8	500	95	96	.	13.600000
75	9	La4	A4	305	305	1	8	500	95	96	.	13.800000
76	9	Es	Es	-1	-1	1	8	500	100	0	.	14.000000
77	9	Fa4	F4	287	287	1	16	250	95	96	.	14.100000
78	9	Mi4	E4	283	283	1	16	250	95	96	.	14.200000
79	9	Re4	D4	274	274	1	8	500	95	96	.	14.400000
80	9	Do4#4	C4#4	269	269	1	8	500	95	96	.	14.600000
81	9	Re4	D4	274	274	1	8	500	95	96	.	14.800000
82	9	Mi4	E4	283	283	1	16	250	95	96	.	14.900000
83	11	Re4	D4	274	274	1	16	250	95	96	.	15.000000
84	9	Re4	D4	274	274	1	2	2000	95	96	.	15.800000
85	9	Es	Es	-1	-1	1	8	500	100	0		16.000000
86	9	La4	A4	305	305	1	4	1000	95	96	ARANAĞME	16.400000
87	9	Re5	D5	327	327	1	4	1000	95	96	.	16.800000
88	9	Mi5	E5	336	336	1	8	500	95	96	.	17.000000
89	9	Fa5	F5	340	340	1	8	500	95	96	.	17.200000
90	9	Sol5	G5	349	349	1	8	500	95	96	.	17.400000
91	9	La5	A5	358	358	1	8	500	95	96	.	17.600000
92	9	Sol5	G5	349	349	1	8	500	95	96	.	17.800000
93	9	Fa5	F5	340	340	1	8	500	95	96	.	18.000000
94	9	Mi5	E5	336	336	1	8	500	95	96	.	18.200000
95	9	Fa5	F5	340	340	1	8	500	95	96	.	18.400000
96	9	Sol5	G5	349	349	1	8	500	95	96	.	18.600000
97	9	Fa5	F5	340	340	1	8	500	95	96	.	18.800000
98	9	Mi5	E5	336	336	1	8	500	95	96	.	19.000000
99	9	Re5	D5	327	327	1	16	250	95	96	.	19.100000
100	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	19.200000
101	9	Re5	D5	327	327	1	16	250	95	96	.	19.300000
102	9	Fa5	F5	340	340	1	16	250	95	96	.	19.400000
103	9	Mi5	E5	336	336	1	16	250	95	96	.	19.500000
104	9	Re5	D5	327	327	1	16	250	95	96	.	19.600000
105	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	19.700000
106	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	19.800000
107	9	La4	A4	305	305	1	8	500	95	96	.	20.000000
108	9	La4	A4	305	305	1	4	1000	95	96	.	20.400000
109	9	Si5b5	B5b5	362	362	1	8	500	95	96	.	20.600000
110	9	La5	A5	358	358	1	8	500	95	96	.	20.800000
111	9	Sol5	G5	349	349	1	8	500	95	96	.	21.000000
112	9	Fa5	F5	340	340	1	8	500	95	96	.	21.200000
113	9	Mi5	E5	336	336	1	8	500	95	96	.	21.400000
114	9	Fa5	F5	340	340	1	8	500	95	96	.	21.600000
115	9	Sol5	G5	349	349	1	8	500	95	96	.	21.800000
116	9	La5	A5	358	358	1	8	500	95	96	.	22.000000
117	9	Fa5	F5	340	340	1	16	250	95	96	.	22.100000
118	9	Mi5	E5	336	336	1	16	250	95	96	.	22.200000
119	9	Re5	D5	327	327	1	8	500	95	96	.	22.400000
120	9	Do5#4	C5#4	322	322	1	8	500	95	96	.	22.600000
121	9	Re5	D5	327	327	1	8	500	95	96	.	22.800000
122	9	Mi5	E5	336	336	1	16	250	95	96	.	22.900000
123	11	Re5	D5	327	327	1	16	250	95	96	.	23.000000
124	9	Re5	D5	327	327	1	2	2000	95	96	.	23.800000
125	9	Es	Es	-1	-1	1	8	500	100	0	.	24.000000
126	9	Do5	C5	318	318	1	4	1000	95	96	.	24.400000
127	9	Re5	D5	327	327	1	4	1000	95	96	.	24.800000
128	9	Do5	C5	318	318	1	8	500	95	96	.	25.000000
129	9	Do5	C5	318	318	1	16	250	95	96	.	25.100000
130	9	Si4	B4	314	314	1	16	250	95	96	.	25.200000
131	9	Do5	C5	318	318	1	16	250	95	96	.	25.300000
132	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	25.400000
133	9	Re5	D5	327	327	1	16	250	95	96	.	25.500000
134	9	Do5	C5	318	318	1	16	250	95	96	.	25.600000
135	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	25.700000
136	9	La4	A4	305	305	1	16	250	95	96	.	25.800000
137	9	Sol4	G4	296	296	1	8	500	95	96	.	26.000000
138	9	Fa4	F4	287	287	1	8	500	95	96	.	26.200000
139	9	Sol4	G4	296	296	1	8	500	95	96	.	26.400000
140	9	La4	A4	305	305	1	8	500	95	96	.	26.600000
141	9	Sol4	G4	296	296	1	8	500	95	96	.	26.800000
142	9	Fa4	F4	287	287	1	8	500	95	96	.	27.000000
143	9	Sol4	G4	296	296	1	16	250	95	96	.	27.100000
144	9	Fa4	F4	287	287	1	16	250	95	96	.	27.200000
145	9	Sol4	G4	296	296	1	16	250	95	96	.	27.300000
146	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	27.400000
147	9	La4	A4	305	305	1	16	250	95	96	.	27.500000
148	9	Sol4	G4	296	296	1	16	250	95	96	.	27.600000
149	9	Fa4	F4	287	287	1	16	250	95	96	.	27.700000
150	9	Mi4	E4	283	283	1	16	250	95	96	.	27.800000
151	9	Re4	D4	274	274	1	8	500	95	96	.	28.000000
152	9	Re4	D4	274	274	1	8	500	95	96	.	28.200000
153	9	Mi4	E4	283	283	1	8	500	95	96	.	28.400000
154	9	Fa4	F4	287	287	1	8	500	95	96	.	28.600000
155	9	Mi4	E4	283	283	1	8	500	95	96	.	28.800000
156	9	Re4	D4	274	274	1	8	500	95	96	.	29.000000
157	9	Mi4	E4	283	283	1	8	500	95	96	.	29.200000
158	9	Fa4	F4	287	287	1	8	500	95	96	.	29.400000
159	9	Sol4	G4	296	296	1	8	500	95	96	.	29.600000
160	9	La4	A4	305	305	1	8	500	95	96	.	29.800000
161	9	Es	Es	-1	-1	1	8	500	100	0	.	30.000000
162	9	Fa4	F4	287	287	1	16	250	95	96	.	30.100000
163	9	Mi4	E4	283	283	1	16	250	95	96	.	30.200000
164	9	Re4	D4	274	274	1	8	500	95	96	.	30.400000
165	9	Do4#4	C4#4	269	269	1	8	500	95	96	.	30.600000
166	9	Re4	D4	274	274	1	8	500	95	96	.	30.800000
167	9	Mi4	E4	283	283	1	16	250	95	96	.	30.900000
168	11	Re4	D4	274	274	1	16	250	95	96	.	31.000000
