Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol5	G5	349	349	1	8	556	95	96	ARANAÐME
2	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
3	9	Sol5	G5	349	349	1	8	556	95	96	.
4	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
5	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.
6	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
7	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.
8	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
9	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.
10	9	Re5	D5	327	327	1	8	556	95	96	.
11	9	Re5	D5	327	327	1	16	278	95	96	.
12	9	Do5	C5	318	318	1	16	278	95	96	.
13	9	Si4b1	B4b1	313	313	1	16	278	95	96	.
14	9	Do5	C5	318	318	1	16	278	95	96	.
15	9	Re5	D5	327	327	1	16	278	95	96	.
16	9	Mi5b3	E5b4	333	332	1	16	278	95	96	.
17	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.
18	9	Sol5	G5	349	349	1	16	278	95	96	.
19	9	La5	A5	358	358	1	16	278	95	96	.
20	9	Si5b5	B5b5	362	362	1	16	278	95	96	.
21	9	La5	A5	358	358	1	16	278	95	96	.
22	9	Sol5	G5	349	349	1	16	278	95	96	.
23	9	Sol5	G5	349	349	1	16	278	95	96	.
24	9	Fa5#3	F5#4	343	344	1	16	278	95	96	.
25	9	Sol5	G5	349	349	3	8	1667	95	96	.
26	9	Sol5	G5	349	349	1	8	556	95	96	ARANAÐME
27	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
28	9	Sol5	G5	349	349	1	8	556	95	96	.
29	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
30	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.
31	9	Fa5#3	F5#4	343	344	1	8	556	95	96	.
32	9	Mi5b3	E5b4	333	332	1	8	556	95	96	.
