Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	833	95	96	1. HANE	0.2
2	9	Fa4#4	F4#4	291	291	1	8	417	95	96		0.3
3	9	Sol4	G4	296	296	3	16	625	95	96		0.45
4	9	La4	A4	305	305	1	16	208	95	96		0.5
5	9	Si4b1	B4b1	313	313	1	16	208	95	96		0.55
6	9	La4	A4	305	305	1	16	208	95	96		0.6
7	9	Sol4	G4	296	296	1	16	208	95	96		0.65
8	9	Fa4#4	F4#4	291	291	1	16	208	95	96		0.7
9	9	Sol4	G4	296	296	1	4	833	95	96		0.9
10	9	Es	Es	-1	-1	1	8	417	100	0		1.0
11	9	La4	A4	305	305	1	4	833	95	96		1.2
12	9	Sol4	G4	296	296	1	8	417	95	96		1.3
13	9	La4	A4	305	305	1	16	208	95	96		1.35
14	9	Si4b1	B4b1	313	313	1	16	208	95	96		1.4
15	9	La4	A4	305	305	1	16	208	95	96		1.45
16	9	Sol4	G4	296	296	1	16	208	95	96		1.5
17	9	La4	A4	305	305	1	8	417	95	96		1.6
18	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.7
19	9	Sol4	G4	296	296	1	16	208	95	96		1.75
20	9	La4	A4	305	305	1	16	208	95	96		1.8
21	9	Si4b1	B4b1	313	313	1	16	208	95	96		1.85
22	9	Do5	C5	318	318	1	16	208	95	96		1.9
23	9	Re5	D5	327	327	1	8	417	95	96		2.0
24	9	Mi5	E5	336	336	1	8	417	95	96		2.1
25	9	Re5	D5	327	327	1	8	417	95	96		2.2
26	9	Do5	C5	318	318	1	8	417	95	96		2.3
27	9	Si4b1	B4b1	313	313	3	16	625	95	96		2.45
28	9	Do5	C5	318	318	1	16	208	95	96		2.5
29	9	Si4b1	B4b1	313	313	1	16	208	95	96		2.55
30	9	La4	A4	305	305	1	16	208	95	96		2.6
31	9	Sol4	G4	296	296	1	16	208	95	96		2.65
32	9	Si4b1	B4b1	313	313	1	16	208	95	96		2.7
33	9	La4	A4	305	305	1	4	833	95	96		2.9
34	9	Es	Es	-1	-1	1	8	417	100	0		3.0
35	9	Re5	D5	327	327	1	4	833	95	96		3.2
36	9	Re5	D5	327	327	1	8	417	95	96		3.3
37	9	Mi5	E5	336	336	3	16	625	95	96		3.45
38	9	Re5	D5	327	327	1	16	208	95	96		3.5
39	9	Mi5	E5	336	336	1	8	417	95	96		3.6
40	9	Fa5#4	F5#4	344	344	1	8	417	95	96		3.7
41	9	Sol5	G5	349	349	1	4	833	95	96		3.9
42	9	Es	Es	-1	-1	1	8	417	100	0		4.0
43	9	Sol5	G5	349	349	1	4	833	95	96	MÜLÂZİME	4.2
44	9	La5	A5	358	358	1	8	417	95	96		4.3
45	9	Sol5	G5	349	349	1	8	417	95	96		4.4
46	9	Fa5	F5	340	340	1	8	417	95	96		4.5
47	9	Mi5	E5	336	336	1	8	417	95	96		4.6
48	9	Re5	D5	327	327	1	8	417	95	96		4.7
49	9	Do5	C5	318	318	1	4	833	95	96		4.9
50	9	Mi5	E5	336	336	1	8	417	95	96		5.0
51	9	Do5	C5	318	318	1	16	208	95	96		5.05
52	9	Re5	D5	327	327	1	16	208	95	96		5.1
53	9	Do5	C5	318	318	1	8	417	95	96		5.2
54	9	Mi5	E5	336	336	1	8	417	95	96		5.3
55	9	Re5	D5	327	327	1	8	417	95	96		5.4
56	9	Do5	C5	318	318	1	8	417	95	96		5.5
57	9	Si4b1	B4b1	313	313	1	8	417	95	96		5.6
58	9	La4	A4	305	305	1	8	417	95	96		5.7
59	9	Si4b1	B4b1	313	313	1	4	833	95	96		5.9
60	9	Es	Es	-1	-1	1	8	417	100	0		6.0
61	9	Re5	D5	327	327	1	4	833	95	96		6.2
62	9	Do5	C5	318	318	1	8	417	95	96		6.3
